,ID,Line,Condition,Path,Cyt,Mem_post,Dosage_af,Dosage_sub,Genotype
48,48,nwg369,11170730par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_11170730par2_tom4,15,60/12",1998.5001495209806,3086.9585918134044,2291.8626018141363,2698.6147245734974,"L109R, par-3 -/-"
49,49,nwg369,wt,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_wt_tom4,15,60/00",4557.706658934169,6633.9767520781925,5751.103112256297,7462.593208812836,"L109R, par-3 -/-"
50,50,nwg369,wt,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_wt_tom4,15,60/01",4217.45887930697,6576.331399575053,5500.054751914885,7315.6610699728535,"L109R, par-3 -/-"
51,51,nwg369,wt,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_wt_tom4,15,60/02",4304.120033417629,6726.310921803973,5299.721903001084,6611.227273680217,"L109R, par-3 -/-"
52,52,nwg369,wt,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_wt_tom4,15,60/03",4359.542485052841,8253.47541632775,5875.533585425142,7759.971972774141,"L109R, par-3 -/-"
53,53,od58,11161000xfp,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_od58_11161000xfp_tom4,15,60/00",969.985789027721,1057.0843796435763,1137.8342779953352,1586.014964739833,PH
54,54,od58,11161000xfp,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_od58_11161000xfp_tom4,15,60/01",938.1185372734413,1312.2950076050806,1112.41624009478,1212.6223511230737,PH
55,55,od58,11161000xfp,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_od58_11161000xfp_tom4,15,60/02",914.828595270092,1371.6880081211746,1142.263468437105,1532.8729701494058,PH
56,56,od58,11161000xfp,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_od58_11161000xfp_tom4,15,60/03",629.759089605206,1174.842008705423,860.7376686299236,493.1954628072517,PH
57,57,od58,11161000xfp,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_od58_11161000xfp_tom4,15,60/04",670.3497656314909,1068.127355609577,927.0223574753857,629.9634854115457,PH
58,58,od58,11161900xfp,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_od58_11161900xfp_tom4,15,60/00",1110.226296143314,1923.5010338913755,1543.9377265138735,1403.089873446388,PH
59,59,od58,11161900xfp,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_od58_11161900xfp_tom4,15,60/01",930.2158645232217,1740.1032569012484,1262.7554291797508,1185.3945028373182,PH
60,60,od58,11161900xfp,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_od58_11161900xfp_tom4,15,60/02",848.2959461521402,1685.428916421824,1219.2775081850587,1451.89454851751,PH
61,61,od58,11161900xfp,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_od58_11161900xfp_tom4,15,60/05",2624.0798589124147,5044.0904737391975,4045.603615532332,5466.477494216075,PH
62,62,od58,11161900xfp,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_od58_11161900xfp_tom4,15,60/06",1242.7911829018494,2199.3587833632528,1777.4766144288337,1773.8273701987246,PH
63,63,od58,11161900xfp,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_od58_11161900xfp_tom4,15,60/07",1114.51216357058,2263.397227681263,1490.864299287499,2019.4463131239127,PH
